Source,Interaction
DLG2,CRIPT
DLG2,NOS1
DLG2,KCNJ12
DLG2,KCNJ2
DLG2,KIDINS220
DLG2,GRID1
DLG2,LIN7A
DLG2,KCNJ4
DLG2,KIF1B
DLG2,FZD7
DLG2,LRP2
DLG2,GLS2
DLG2,ABCA1
DLG2,FZD1
DLG2,CACNG2
DLG2,CNRSR2
DLG2,RHOT1
DLG2,SCN4A
DLG2,FZD4
DLG2,FASLG
DLG2,GRID2
DLG2,MAPK12
DLG2,GRIN1
DLG2,DLG1
DLG2,KHDRBS1
DLG2,DYNLL1
DLG2,PARK2
DLG2,GRIN2D
DLG2,WNT3A
DLG2,SEC24B
DLG2,DLG4
DLG2,TAX1BP3
DLG2,C12ORF4
DLG2,PPP1CA
PDE2A,AIP
PDE2A,TAT
PDE2A,UBC
RAPGEF2,RAP2B
RAPGEF2,MOB4
RAPGEF2,HSPA1A
RAPGEF2,SCN7A
RAPGEF2,KIF5B
RAPGEF2,PRKCI
RAPGEF2,MT-ATP8
RAPGEF2,RALGDS
RAPGEF2,KIF5A
RAPGEF2,PHB2
RAPGEF2,RAP1A
RAPGEF2,MAGI2
RAPGEF2,YAP1
RAPGEF2,SPP1
RAPGEF2,NEDD4
RAPGEF2,NEDD4L
RAPGEF2,CTNNB1
RAPGEF2,YWHAZ
RAPGEF2,DLG4
RAPGEF2,UBC
PPP3CB,TBC1D10C
PPP3CB,AKAP5
PPP3CB,GRIK2
PPP3CB,SRSF5
PPP3CB,VPS36
PPP3CB,MLH1
PPP3CB,IRF2
PPP3CB,WDR92
PPP3CB,CACNA1H
PPP3CB,CALM1
PPP3CB,MYOZ2
PPP3CB,PDE4D
PPP3CB,VPS25
PPP3CB,RCAN1
PPP3CB,WDR12
PPP3CB,SLC8A2
PPP3CB,SLC8A3
PPP3CB,IRAK1
PPP3CB,AMPH
PPP3CB,ATG7
PPP3CB,NFATC1
PPP3CB,SLC8A1
PPP3CB,PPP3R1
PPP3CB,MYOZ3
PPP3CB,SOCS3
PPP3CB,JUN
PPP3CB,CABIN1
PPP3CB,BTK
PPP3CB,NFATC2
PPP3CB,GRB2
PPP3CB,TAT
PPP3CB,UBC
AGAP2,EPB41L1
AGAP2,HOMER1
AGAP2,MPRIP
AGAP2,HOMER2
AGAP2,UNC5B
AGAP2,SNCA
AGAP2,NF2
AGAP2,NR4A1
AGAP2,PRLR
AGAP2,PIK3R1
AGAP2,INSR
AGAP2,STAT5A
AGAP2,PLCG1
AGAP2,UBC
ERC2,ERC1
ERC2,PPFIA3
ERC2,PPFIA1
ERC2,PPIA2
ERC2,PCLO
ERC2,PPFIA4
ERC2,UNC13A
ERC2,LSP1
ERC2,RIMS1
ERC2,MYB
ERC2,GIT1
CTNNB1,TCF7L2
CTNNB1,TCF4
CTNNB1,CBY1
CTNNB1,CDH1
CTNNB1,CTNNAL1
CTNNB1,CTNNA1
CTNNB1,BCL9
CTNNB1,CDH2
CTNNB1,SATB1
CTNNB1,GSK3B
CTNNB1,AXIN1
CTNNB1,AXIN2
CTNNB1,CDH8
CTNNB1,AJAP1
CTNNB1,LGALS9
CTNNB1,BCL9L
CTNNB1,LEF1
CTNNB1,CTNNBIP1
CTNNB1,PSEN2
CTNNB1,FHIT
CTNNB1,TCF7L1
CTNNB1,PPM1A
CTNNB1,PKM
CTNNB1,CTNNA3
CTNNB1,DVL3
CTNNB1,FGF20
CTNNB1,BTF3
CTNNB1,LZTS2
CTNNB1,PTPRO
CTNNB1,PTPN12
CTNNB1,DDX1
CTNNB1,CDH17
CTNNB1,PTPRB
CTNNB1,AHR
CTNNB1,NONO
CTNNB1,DKK1
CTNNB1,CDH10
CTNNB1,SNCA
CTNNB1,GRIP1
CTNNB1,CDH7
CTNNB1,KANK1
CTNNB1,IGFBP2
CTNNB1,PTPRG
CTNNB1,CDH9
CTNNB1,HNRNPM
CTNNB1,BIRC7
CTNNB1,CLU
CTNNB1,FUS
CTNNB1,MLLT10
CTNNB1,LIMA1
CTNNB1,APC
CTNNB1,PTPRU
CTNNB1,CSNK1A1
CTNNB1,FSCN2
CTNNB1,EPHA2
CTNNB1,PKD1
CTNNB1,LDHB
CTNNB1,CA9
CTNNB1,PSEN1
CTNNB1,NR5A2
CTNNB1,CDH11
CTNNB1,BTRC
CTNNB1,SOX17
CTNNB1,DOT1L
CTNNB1,UBC
CTNNB1,FOXO4
CTNNB1,NEK2
CTNNB1,CDH3
CTNNB1,PTPRF
CTNNB1,LEO1
CTNNB1,SOX1
CTNNB1,PROP1
CTNNB1,NEURL2
CTNNB1,GLIS2
CTNNB1,DLG5
CTNNB1,PTPRK
CTNNB1,PYGO1
CTNNB1,DSC3
CTNNB1,CDH24
CTNNB1,PTPRJ
CTNNB1,PTPN14
CTNNB1,CDH15
CTNNB1,CTBP1
CTNNB1,PTPRZ1
CTNNB1,PHB2
CTNNB1,RUVBL1
CTNNB1,RUVBL2
CTNNB1,DDX5
CTNNB1,CDH16
CTNNB1,ERMN
CTNNB1,IGF2BP1
CTNNB1,SOX2
CTNNB1,SPN
CTNNB1,TAX1BP3
CTNNB1,FOXO1
CTNNB1,APC2
CTNNB1,HINT1
CTNNB1,TERT
CTNNB1,CDK6
UBR4,ZEB1
UBR4,MOB4
UBR4,MCRS1
UBR4,LARS
UBR4,FLNB
UBR4,KIAA0368
UBR4,GRB2
UBR4,BIRC3
UBR4,PRPF40A
UBR4,VIM
UBR4,KCMF1
UBR4,BIRC2
UBR4,PSMC5
UBR4,USP9X
UBR4,PSMC6
UBR4,EFTUD2
UBR4,VCP
UBR4,HSPD1
UBR4,PSMD13
UBR4,RAD23A
UBR4,SRGN
UBR4,RPS6KA1
UBR4,SNRNP200
UBR4,UBE2B
UBR4,PHKG2
UBR4,SOX2
UBR4,RB1
UBR4,UBC
UBR4,UBE2A
UBR4,CSNK1E
UBR4,SIRT7
UBR4,SUMO1
SCN2A1,SCN4B
SCN2A1,ANK3
SCN2A1,ARHGEF10L
SCN2A1,RNF130
SCN2A1,MPP3
SCN2A1,DLG4
SCN2A1,PPP2CA
SYT11,UBC
SYT11,ATP13A2
SYT11,CSNK1A1
SYT11,PARK2
SYT11,APPBP2
SYT11,MEOX2
SYT11,SYNCRIP
SYT11,SGTA
CNKSR2,LRRC7
CNKSR2,MOB3B
CNKSR2,RLF
CNKSR2,RALA
CNKSR2,ENSA
CNKSR2,TNFAIP3
CNKSR2,RGS3
CNKSR2,RAF1
CNKSR2,INADL
CNKSR2,DLG2
CNKSR2,SNTA1
CNKSR2,CDK2
CNKSR2,DLG4
CNKSR2,TNIK
CNKSR2,TJP1
CNKSR2,DLG1
LMTK2,UBC
LMTK2,PPP1R2
LMTK2,MYO6
LMTK2,CDK5
LMTK2,CDK5
LMTK2,K5R1
LMTK2,PPP1CC
